frame_id,player_id,timestamp_s,x1,y1,x2,y2,cx,cy,w,h,confidence
1,1,0.0,8,437,27,462,17,449,18,25,0.11
2,1,0.034,8,437,27,462,17,449,18,25,0.12
3,1,0.069,1,437,21,461,11,449,19,23,0.24
5,1,0.138,0,441,8,466,4,454,8,24,0.11
8,1,0.241,603,347,617,363,610,355,13,16,0.25
9,1,0.276,603,347,617,363,610,355,13,16,0.27
10,2,0.31,603,347,617,363,610,355,13,16,0.41
11,2,0.345,604,347,617,363,611,355,13,16,0.49
12,2,0.379,604,347,618,364,611,355,14,16,0.32
13,1,0.414,605,347,619,364,612,356,13,17,0.11
14,1,0.448,605,347,619,365,612,356,13,17,0.14
15,1,0.483,672,397,681,406,677,401,8,8,0.13
16,1,0.517,674,398,682,407,678,402,8,8,0.11
26,1,0.862,1077,653,1091,667,1084,660,13,14,0.13
26,2,0.862,319,363,327,372,323,367,8,8,0.1
27,1,0.897,1077,652,1090,666,1083,659,12,14,0.13
29,1,0.966,872,304,882,312,877,308,10,8,0.13
53,1,1.793,942,309,950,316,946,313,8,6,0.12
54,1,1.828,946,309,955,317,950,313,9,8,0.41
57,1,1.931,678,351,688,361,683,356,10,10,0.41
58,4,1.966,678,351,689,362,684,356,10,11,0.59
59,4,2.0,679,351,690,362,684,356,10,11,0.58
60,4,2.034,679,351,690,362,685,357,10,11,0.46
61,4,2.069,680,352,691,363,686,357,10,10,0.28
62,4,2.103,680,352,691,363,686,357,10,10,0.26
63,1,2.138,681,352,692,363,686,357,10,11,0.21
63,2,2.138,179,386,188,396,183,391,9,9,0.12
64,1,2.172,681,352,692,363,687,357,11,11,0.19
65,1,2.207,1006,370,1015,381,1011,375,9,10,0.42
66,1,2.241,997,308,1006,315,1001,312,9,7,0.23
67,1,2.276,681,357,691,368,686,363,10,11,0.24
67,2,2.276,1001,309,1011,317,1006,313,9,8,0.18
68,1,2.31,681,357,691,368,686,363,10,11,0.23
68,2,2.31,1001,309,1011,317,1006,313,9,8,0.19
70,1,2.379,205,335,215,345,210,340,10,9,0.13
71,1,2.414,512,456,525,467,518,462,12,11,0.18
72,1,2.448,173,394,185,406,179,400,12,12,0.45
73,1,2.483,511,460,524,471,518,466,13,11,0.19
74,1,2.517,511,460,524,471,518,466,13,11,0.19
78,1,2.655,552,334,562,344,557,339,9,9,0.22
79,1,2.69,553,334,563,344,558,339,9,9,0.37
80,8,2.724,553,334,563,344,558,339,9,9,0.37
81,8,2.759,553,333,563,343,558,338,10,10,0.51
82,1,2.793,171,393,183,405,177,399,12,12,0.31
83,1,2.828,174,394,186,407,180,401,12,12,0.12
83,2,2.828,595,375,604,385,599,380,9,9,0.11
84,1,2.862,595,375,604,385,599,380,9,9,0.12
85,1,2.897,627,377,636,389,632,383,9,11,0.12
91,1,3.103,539,482,550,493,545,488,10,10,0.1
93,1,3.172,1095,387,1104,397,1100,392,8,9,0.23
94,1,3.207,552,489,564,501,558,495,11,11,0.11
106,1,3.621,146,426,156,438,151,432,9,11,0.18
113,1,3.862,1091,335,1104,348,1097,341,13,13,0.16
113,2,3.862,0,90,11,109,6,100,11,19,0.12
117,1,4.0,997,650,1017,670,1007,660,20,19,0.33
118,1,4.034,994,651,1014,671,1004,661,20,19,0.38
119,1,4.069,992,652,1012,671,1002,661,20,19,0.22
119,2,4.069,114,424,125,440,120,432,11,15,0.18
120,1,4.103,990,652,1009,671,999,661,19,18,0.2
121,1,4.138,990,652,1010,671,1000,661,19,18,0.21
122,1,4.172,985,651,1007,670,996,661,21,18,0.1
123,1,4.207,983,650,1003,669,993,660,20,19,0.18
125,1,4.276,978,648,996,663,987,655,18,14,0.1
126,1,4.31,978,648,996,663,987,655,17,14,0.11
127,1,4.345,1035,349,1049,362,1042,355,13,13,0.11
128,1,4.379,969,643,989,661,979,652,20,18,0.18
129,1,4.414,962,643,981,660,971,652,18,16,0.21
129,2,4.414,935,345,950,361,943,353,14,15,0.13
130,1,4.448,920,344,936,360,928,352,15,16,0.33
131,13,4.483,920,344,936,360,928,352,15,16,0.32
132,1,4.517,946,641,965,659,956,650,18,17,0.17
134,1,4.586,931,640,950,658,940,649,19,17,0.2
136,1,4.655,178,408,191,425,184,416,13,17,0.39
137,1,4.69,193,406,207,425,200,415,13,19,0.36
138,1,4.724,915,640,934,657,924,648,19,17,0.12
138,2,4.724,891,348,904,361,898,355,12,13,0.11
140,1,4.793,827,331,843,345,835,338,15,13,0.18
141,1,4.828,868,345,881,358,874,351,13,12,0.38
141,2,4.828,802,334,817,348,810,341,15,14,0.36
142,1,4.862,802,328,821,346,812,337,19,18,0.33
143,1,4.897,796,327,812,343,804,335,15,15,0.22
147,1,5.034,515,387,528,399,522,393,12,12,0.19
148,1,5.069,730,370,743,382,736,376,12,11,0.11
149,1,5.103,615,314,626,326,620,320,10,11,0.17
154,1,5.276,451,349,468,368,460,359,17,19,0.24
155,1,5.31,439,365,457,379,448,372,18,14,0.51
171,1,5.862,949,621,967,635,958,628,18,13,0.13
171,2,5.862,661,312,675,327,668,320,13,14,0.1
179,1,6.138,229,285,239,296,234,291,10,10,0.12
184,1,6.31,687,298,701,313,694,306,14,15,0.2
191,1,6.552,286,284,298,297,292,290,12,12,0.36
196,1,6.724,705,306,719,324,712,315,13,17,0.41
197,1,6.759,707,305,722,321,714,313,14,16,0.33
198,1,6.793,711,303,726,318,719,311,14,14,0.15
199,1,6.828,714,301,728,315,721,308,14,14,0.11
199,2,6.828,950,286,963,298,956,292,12,12,0.1
200,1,6.862,950,286,964,300,957,293,14,14,0.11
200,2,6.862,714,301,728,315,721,308,14,14,0.1
201,1,6.897,717,300,731,316,724,308,14,15,0.4
203,1,6.966,837,313,849,325,843,319,12,12,0.24
208,1,7.138,1079,281,1094,296,1087,289,15,15,0.32
209,1,7.172,389,288,400,301,395,295,11,12,0.19
209,2,7.172,1005,311,1017,323,1011,317,12,12,0.12
212,1,7.276,417,290,428,302,423,296,10,11,0.14
216,1,7.414,579,429,590,445,584,437,11,15,0.27
216,2,7.414,779,421,794,434,786,427,15,13,0.11
217,1,7.448,579,429,590,445,584,437,11,15,0.27
217,2,7.448,779,421,794,434,786,427,15,13,0.1
219,1,7.517,1080,299,1099,316,1089,307,18,17,0.24
219,2,7.517,969,376,984,392,977,384,14,16,0.15
221,1,7.586,1090,336,1104,349,1097,342,13,12,0.21
222,1,7.621,1096,332,1107,346,1102,339,10,14,0.32
223,27,7.655,1096,332,1107,347,1102,339,11,14,0.35
229,1,7.862,498,306,510,318,504,312,12,12,0.33
230,1,7.897,947,374,962,388,955,381,15,14,0.21
232,1,7.966,477,421,488,433,483,427,11,12,0.18
234,1,8.034,660,354,677,376,669,365,17,22,0.25
234,2,8.034,655,300,669,315,662,308,13,14,0.19
234,3,8.034,697,311,708,323,703,317,11,11,0.12
235,1,8.069,660,354,677,376,669,365,17,22,0.26
235,2,8.069,655,300,669,315,662,308,13,14,0.19
235,3,8.069,697,311,708,322,703,317,11,11,0.12
236,1,8.103,691,309,704,320,698,315,13,10,0.25
236,2,8.103,650,348,670,372,660,360,20,23,0.16
236,3,8.103,1099,332,1108,344,1103,338,8,11,0.13
237,1,8.138,1095,324,1107,337,1101,330,12,12,0.28
238,30,8.172,1094,324,1105,336,1100,330,11,12,0.46
239,30,8.207,1094,327,1105,339,1100,333,11,12,0.58
240,27,8.241,1095,336,1106,349,1100,343,10,13,0.47
241,27,8.276,1095,336,1106,349,1100,343,10,13,0.47
241,32,8.276,617,312,633,330,625,321,15,17,0.36
242,1,8.31,609,317,625,336,617,326,15,18,0.74
242,2,8.31,1098,346,1107,358,1103,352,9,12,0.32
243,1,8.345,605,325,621,342,613,333,15,17,0.42
244,1,8.379,601,327,615,343,608,335,13,16,0.63
245,39,8.414,601,327,615,343,608,335,13,16,0.63
246,39,8.448,598,329,612,344,605,336,13,15,0.57
247,39,8.483,595,331,609,347,602,339,13,15,0.57
248,39,8.517,594,333,607,348,600,340,12,14,0.52
252,1,8.655,595,328,608,342,601,335,13,14,0.17
