frame,player_id,team,x,y,speed_kmh,distance_m,total_distance_m
1,1,Team_2,957,359,0,0,0
1,2,Team_1,646,355,0,0,0
1,3,Team_1,929,355,0,0,0
1,4,Team_1,22,489,0,0,0
1,5,Team_1,873,513,0,0,0
1,6,Team_2,917,502,0,0,0
1,7,Team_2,405,369,0,0,0
1,8,Team_2,754,377,0,0,0
1,9,Team_1,620,401,0,0,0
1,10,Team_1,445,303,0,0,0
1,11,Team_2,485,303,0,0,0
1,12,Umpire,702,386,0,0,0
1,13,Team_2,778,395,0,0,0
1,14,Umpire,1035,294,0,0,0
2,1,Team_2,957,358,2.15,0.02,0.02
2,2,Team_1,646,355,0.0,0.0,0.0
2,3,Team_1,929,355,0.0,0.0,0.0
2,4,Team_1,22,489,0.0,0.0,0.0
2,5,Team_1,873,513,0.0,0.0,0.0
2,6,Team_2,917,502,0.0,0.0,0.0
2,7,Team_2,405,369,0.0,0.0,0.0
2,8,Team_2,754,377,0.0,0.0,0.0
2,9,Team_1,620,402,2.15,0.02,0.02
2,10,Team_1,445,303,0.0,0.0,0.0
2,11,Team_2,485,303,0.0,0.0,0.0
2,12,Umpire,702,386,0.0,0.0,0.0
2,13,Team_2,778,395,0.0,0.0,0.0
2,14,Umpire,1035,294,0.0,0.0,0.0
3,1,Team_2,958,358,2.15,0.02,0.04
3,2,Team_1,646,355,0.0,0.0,0.0
3,3,Team_1,931,354,4.82,0.04,0.04
3,4,Team_1,18,491,9.64,0.09,0.09
3,5,Team_1,874,514,3.05,0.03,0.03
3,6,Team_2,918,503,3.05,0.03,0.03
3,7,Team_2,404,369,2.15,0.02,0.02
3,8,Team_2,755,377,2.15,0.02,0.02
3,9,Team_1,619,402,2.15,0.02,0.04
3,10,Team_1,444,303,2.15,0.02,0.02
3,11,Team_2,484,301,4.82,0.04,0.04
3,12,Umpire,702,386,0.0,0.0,0.0
3,13,Team_2,778,395,0.0,0.0,0.0
3,14,Umpire,1037,293,4.82,0.04,0.04
4,1,Team_2,964,358,12.93,0.12,0.16
4,2,Team_1,646,357,4.31,0.04,0.04
4,3,Team_1,936,354,10.77,0.1,0.14
4,4,Team_1,14,494,10.77,0.1,0.19
4,5,Team_1,877,517,9.14,0.08,0.11
4,6,Team_2,923,505,11.6,0.11,0.14
4,7,Team_2,400,370,8.88,0.08,0.1
4,8,Team_2,757,376,4.82,0.04,0.06
4,9,Team_1,619,402,0.0,0.0,0.04
4,10,Team_1,441,302,6.81,0.06,0.08
4,11,Team_2,481,300,6.81,0.06,0.11
4,12,Umpire,703,387,3.05,0.03,0.03
4,13,Team_2,781,396,6.81,0.06,0.06
4,14,Umpire,1044,293,15.08,0.14,0.18
5,1,Team_2,967,357,6.81,0.06,0.22
5,2,Team_1,646,358,2.15,0.02,0.06
5,3,Team_1,939,354,6.46,0.06,0.2
5,4,Team_1,11,495,6.81,0.06,0.25
5,5,Team_1,880,519,7.77,0.07,0.19
5,6,Team_2,926,508,9.14,0.08,0.22
5,7,Team_2,397,369,6.81,0.06,0.17
5,8,Team_2,758,376,2.15,0.02,0.08
5,9,Team_1,618,402,2.15,0.02,0.06
5,10,Team_1,438,301,6.81,0.06,0.15
5,11,Team_2,479,299,4.82,0.04,0.15
5,12,Umpire,704,387,2.15,0.02,0.05
5,13,Team_2,782,396,2.15,0.02,0.08
5,14,Umpire,1048,292,8.88,0.08,0.27
5,16,Umpire,1096,265,0,0,0
6,1,Team_2,970,356,6.81,0.06,0.29
6,2,Team_1,646,358,0.0,0.0,0.06
6,3,Team_1,942,353,6.81,0.06,0.27
6,5,Team_1,882,521,6.09,0.06,0.24
6,6,Team_2,928,509,4.82,0.04,0.27
6,7,Team_2,393,368,8.88,0.08,0.25
6,8,Team_2,759,377,3.05,0.03,0.11
6,9,Team_1,618,402,0.0,0.0,0.06
6,10,Team_1,436,301,4.31,0.04,0.19
6,11,Team_2,478,299,2.15,0.02,0.17
6,12,Umpire,704,388,2.15,0.02,0.07
6,13,Team_2,783,397,3.05,0.03,0.11
6,14,Umpire,1052,291,8.88,0.08,0.35
6,16,Umpire,1099,265,6.46,0.06,0.06
7,1,Team_2,973,357,6.81,0.06,0.35
7,2,Team_1,646,358,0.0,0.0,0.06
7,3,Team_1,945,352,6.81,0.06,0.33
7,5,Team_1,885,523,7.77,0.07,0.31
7,6,Team_2,931,510,6.81,0.06,0.33
7,7,Team_2,391,368,4.31,0.04,0.29
7,8,Team_2,761,377,4.31,0.04,0.15
7,9,Team_1,618,402,0.0,0.0,0.06
7,10,Team_1,434,301,4.31,0.04,0.23
7,11,Team_2,476,299,4.31,0.04,0.21
7,12,Umpire,705,389,3.05,0.03,0.1
7,13,Team_2,784,397,2.15,0.02,0.13
7,14,Umpire,1056,290,8.88,0.08,0.43
7,16,Umpire,1104,264,10.99,0.1,0.16
8,1,Team_2,975,357,4.31,0.04,0.39
8,2,Team_1,646,358,0.0,0.0,0.06
8,3,Team_1,947,352,4.31,0.04,0.37
8,5,Team_1,886,525,4.82,0.04,0.36
8,6,Team_2,933,511,4.82,0.04,0.37
8,7,Team_2,390,367,3.05,0.03,0.32
8,8,Team_2,762,377,2.15,0.02,0.17
8,9,Team_1,617,403,3.05,0.03,0.09
8,10,Team_1,433,300,3.05,0.03,0.25
8,11,Team_2,475,299,2.15,0.02,0.23
8,12,Umpire,706,389,2.15,0.02,0.12
8,13,Team_2,785,398,3.05,0.03,0.16
8,14,Umpire,1060,288,9.64,0.09,0.52
8,16,Umpire,1109,263,10.99,0.1,0.26
9,1,Team_2,976,357,2.15,0.02,0.41
9,2,Team_1,646,358,0.0,0.0,0.06
9,3,Team_1,948,352,2.15,0.02,0.39
9,5,Team_1,887,525,2.15,0.02,0.38
9,6,Team_2,934,511,2.15,0.02,0.39
9,7,Team_2,390,367,0.0,0.0,0.32
9,8,Team_2,762,377,0.0,0.0,0.17
9,9,Team_1,617,403,0.0,0.0,0.09
9,10,Team_1,432,300,2.15,0.02,0.27
9,11,Team_2,475,299,0.0,0.0,0.23
9,12,Umpire,706,389,0.0,0.0,0.12
9,13,Team_2,785,398,0.0,0.0,0.16
9,14,Umpire,1061,288,2.15,0.02,0.54
9,16,Umpire,1110,263,2.15,0.02,0.28
10,1,Team_2,976,358,2.15,0.02,0.43
10,2,Team_1,646,358,0.0,0.0,0.06
10,3,Team_1,948,352,0.0,0.0,0.39
10,5,Team_1,887,526,2.15,0.02,0.4
10,6,Team_2,934,511,0.0,0.0,0.39
10,7,Team_2,390,367,0.0,0.0,0.32
10,8,Team_2,762,377,0.0,0.0,0.17
10,9,Team_1,617,403,0.0,0.0,0.09
10,10,Team_1,432,300,0.0,0.0,0.27
10,11,Team_2,474,299,2.15,0.02,0.25
10,12,Umpire,706,390,2.15,0.02,0.14
10,13,Team_2,785,398,0.0,0.0,0.16
10,14,Umpire,1061,288,0.0,0.0,0.54
10,16,Umpire,1111,263,2.15,0.02,0.3
11,1,Team_2,978,358,4.31,0.04,0.47
11,2,Team_1,646,358,0.0,0.0,0.06
11,3,Team_1,951,352,6.46,0.06,0.45
11,5,Team_1,888,526,2.15,0.02,0.42
11,6,Team_2,936,512,4.82,0.04,0.44
11,7,Team_2,389,367,2.15,0.02,0.34
11,8,Team_2,763,378,3.05,0.03,0.2
11,9,Team_1,616,403,2.15,0.02,0.11
11,10,Team_1,430,300,4.31,0.04,0.31
11,11,Team_2,473,299,2.15,0.02,0.27
11,12,Umpire,706,390,0.0,0.0,0.14
11,13,Team_2,785,398,0.0,0.0,0.16
11,14,Umpire,1064,289,6.81,0.06,0.6
11,16,Umpire,1113,263,4.31,0.04,0.34
11,19,Team_1,393,367,0,0,0
12,1,Team_2,981,358,6.46,0.06,0.53
12,2,Team_1,646,358,0.0,0.0,0.06
12,3,Team_1,953,353,4.82,0.04,0.5
12,5,Team_1,890,527,4.82,0.04,0.46
12,6,Team_2,939,512,6.46,0.06,0.5
12,7,Team_2,386,367,6.46,0.06,0.4
12,8,Team_2,764,378,2.15,0.02,0.22
12,9,Team_1,616,403,0.0,0.0,0.11
12,10,Team_1,429,300,2.15,0.02,0.33
12,11,Team_2,472,298,3.05,0.03,0.3
12,12,Umpire,706,390,0.0,0.0,0.14
12,13,Team_2,786,398,2.15,0.02,0.18
12,14,Umpire,1068,288,8.88,0.08,0.69
12,16,Umpire,1117,262,8.88,0.08,0.43
13,1,Team_2,984,357,6.81,0.06,0.59
13,2,Team_1,646,358,0.0,0.0,0.06
13,3,Team_1,958,353,10.77,0.1,0.6
13,5,Team_1,893,529,7.77,0.07,0.54
13,6,Team_2,942,514,7.77,0.07,0.57
13,7,Team_2,383,368,6.81,0.06,0.46
13,8,Team_2,766,378,4.31,0.04,0.26
13,9,Team_1,615,403,2.15,0.02,0.13
13,10,Team_1,427,300,4.31,0.04,0.37
13,11,Team_2,471,297,3.05,0.03,0.33
13,12,Umpire,707,392,4.82,0.04,0.18
13,13,Team_2,788,399,4.82,0.04,0.22
13,14,Umpire,1072,287,8.88,0.08,0.77
13,16,Umpire,1121,261,8.88,0.08,0.51
14,1,Team_2,987,356,6.81,0.06,0.66
14,2,Team_1,646,358,0.0,0.0,0.06
14,3,Team_1,960,353,4.31,0.04,0.64
14,5,Team_1,896,531,7.77,0.07,0.61
14,6,Team_2,945,517,9.14,0.08,0.66
14,7,Team_2,381,369,4.82,0.04,0.5
14,8,Team_2,767,378,2.15,0.02,0.28
14,9,Team_1,615,404,2.15,0.02,0.15
14,10,Team_1,425,300,4.31,0.04,0.41
14,11,Team_2,470,296,3.05,0.03,0.36
14,12,Umpire,708,392,2.15,0.02,0.2
14,13,Team_2,789,399,2.15,0.02,0.24
14,14,Umpire,1076,286,8.88,0.08,0.85
14,16,Umpire,1126,259,11.6,0.11,0.62
15,1,Team_2,988,356,2.15,0.02,0.68
15,2,Team_1,646,358,0.0,0.0,0.06
15,3,Team_1,961,353,2.15,0.02,0.66
15,5,Team_1,897,532,3.05,0.03,0.64
15,6,Team_2,946,518,3.05,0.03,0.68
15,7,Team_2,380,369,2.15,0.02,0.52
