track_id,cluster_id,cluster_team,initial_class_id,initial_class_name,num_observed_frames,jersey_sample_count,first_frame,last_frame,first_time_sec,last_time_sec,total_distance_px,total_distance_m,avg_speed_kmh,max_speed_kmh
0,0,Team_0,1,SS,327,327,0,326,0.0,13.04,2122.183,106.109,29.294,39.835
1,1,Team_1,2,WB,8,8,0,7,0.0,0.28,222.523,11.126,143.05,0.0
2,1,Team_1,2,WB,11,11,0,10,0.0,0.4,376.699,18.835,169.515,0.0
3,1,Team_1,2,WB,65,65,0,64,0.0,2.56,1031.614,51.581,72.535,38.678
4,0,Team_0,1,SS,338,338,0,337,0.0,13.48,1922.056,96.103,25.665,38.477
5,1,Team_1,2,WB,130,130,0,129,0.0,5.16,1538.41,76.92,53.665,39.905
6,0,Team_0,1,SS,5,5,0,4,0.0,0.16,129.149,6.457,145.292,0.0
7,1,Team_1,2,WB,12,12,0,17,0.0,0.68,410.46,20.523,108.651,27.307
8,0,Team_0,1,SS,334,334,0,337,0.0,13.48,1624.857,81.243,21.697,39.941
9,0,Team_0,1,SS,24,24,0,23,0.0,0.92,697.093,34.855,136.388,0.0
10,0,Team_0,1,SS,143,143,0,142,0.0,5.68,1511.45,75.573,47.898,39.471
11,0,Team_0,1,SS,53,53,0,52,0.0,2.08,894.25,44.713,77.387,36.521
12,1,Team_1,2,WB,338,338,0,337,0.0,13.48,1787.702,89.385,23.871,39.297
13,0,Team_0,1,SS,319,319,0,337,0.0,13.48,2028.81,101.44,27.091,39.947
14,,Unknown,0,REF,2,2,0,1,0.0,0.04,18.928,0.946,85.178,0.0
15,0,Team_0,1,SS,15,15,0,14,0.0,0.56,535.525,26.776,172.133,0.0
16,1,Team_1,2,WB,18,18,0,17,0.0,0.68,621.831,31.092,164.602,0.0
17,0,Team_0,1,SS,16,16,0,15,0.0,0.6,492.372,24.619,147.712,0.0
18,1,Team_1,2,WB,223,223,0,273,0.0,10.92,1641.35,82.068,27.055,39.992
19,,Unknown,1,SS,2,2,12,13,0.48,0.52,7.761,0.388,34.926,34.926
20,0,Team_0,1,SS,10,10,13,24,0.52,0.96,156.876,7.844,64.176,39.367
21,0,Team_0,2,WB,274,274,14,290,0.56,11.6,1976.742,98.837,32.229,39.994
22,0,Team_0,1,SS,157,157,22,184,0.88,7.36,1260.077,63.004,35.002,39.527
23,2,Team_2,0,REF,8,8,32,40,1.28,1.6,120.331,6.017,67.686,26.23
24,,Unknown,0,REF,1,1,43,43,1.72,1.72,0.0,0.0,0.0,0.0
25,2,Team_2,0,REF,5,5,48,56,1.92,2.24,188.307,9.415,105.923,0.0
26,1,Team_1,2,WB,70,70,56,125,2.24,5.0,645.933,32.297,42.126,39.984
27,2,Team_2,0,REF,59,59,61,128,2.44,5.12,601.218,30.061,40.38,39.097
28,2,Team_2,0,REF,11,11,63,73,2.52,2.92,312.467,15.623,140.61,0.0
29,,Unknown,2,WB,1,1,63,63,2.52,2.52,0.0,0.0,0.0,0.0
30,0,Team_0,1,SS,105,105,67,171,2.68,6.84,447.596,22.38,19.367,38.781
31,2,Team_2,0,REF,100,100,74,182,2.96,7.28,1105.398,55.27,46.058,39.789
32,2,Team_2,0,REF,15,15,74,97,2.96,3.88,170.902,8.545,33.437,37.538
33,,Unknown,2,WB,1,1,80,80,3.2,3.2,0.0,0.0,0.0,0.0
34,1,Team_1,2,WB,257,257,81,337,3.24,13.48,1774.029,88.701,31.184,39.428
35,0,Team_0,1,SS,8,8,84,97,3.36,3.88,26.066,1.303,9.023,13.513
36,1,Team_1,2,WB,166,166,88,268,3.52,10.72,1143.385,57.169,28.585,39.511
37,1,Team_1,2,WB,246,246,92,337,3.68,13.48,1073.401,53.67,19.716,38.973
38,0,Team_0,1,SS,93,93,97,200,3.88,8.0,717.415,35.871,31.343,39.992
39,1,Team_1,2,WB,133,133,130,262,5.2,10.48,404.025,20.201,13.774,36.334
40,1,Team_1,2,WB,57,57,132,198,5.28,7.92,639.182,31.959,43.581,39.855
41,1,Team_1,2,WB,43,43,133,175,5.32,7.0,460.908,23.045,49.383,38.89
42,0,Team_0,1,SS,199,199,139,337,5.56,13.48,1276.337,63.817,29.008,39.363
43,1,Team_1,2,WB,182,182,141,335,5.64,13.4,1232.628,61.631,28.592,38.24
44,0,Team_0,1,SS,190,190,144,337,5.76,13.48,877.397,43.87,20.457,39.907
45,0,Team_0,1,SS,148,148,145,292,5.8,11.68,621.84,31.092,19.036,39.677
46,0,Team_0,1,SS,167,167,148,321,5.92,12.84,891.542,44.577,23.19,39.741
47,,Unknown,0,REF,1,1,158,158,6.32,6.32,0.0,0.0,0.0,0.0
48,1,Team_1,2,WB,165,165,164,337,6.56,13.48,516.772,25.839,13.442,37.2
49,,Unknown,0,REF,4,4,174,180,6.96,7.2,62.054,3.103,46.541,16.907
50,2,Team_2,2,WB,135,135,188,337,7.52,13.48,379.973,18.999,11.476,37.444
51,1,Team_1,2,WB,139,139,198,337,7.92,13.48,414.69,20.735,13.425,38.944
52,0,Team_0,1,SS,138,138,198,337,7.92,13.48,231.333,11.567,7.489,31.637
53,0,Team_0,2,WB,131,131,201,337,8.04,13.48,412.326,20.616,13.643,35.143
54,,Unknown,0,REF,1,1,208,208,8.32,8.32,0.0,0.0,0.0,0.0
55,,Unknown,0,REF,1,1,226,226,9.04,9.04,0.0,0.0,0.0,0.0
56,2,Team_2,0,REF,51,51,238,288,9.52,11.52,104.018,5.201,9.362,27.571
