frame_id,player_id,timestamp_s,x1,y1,x2,y2,cx,cy,w,h,confidence
78,1,2.567,493,301,772,609,632,455,278,307,0.87
78,2,2.567,994,207,1162,502,1078,354,167,295,0.83
78,3,2.567,879,391,1057,654,968,522,178,262,0.83
78,4,2.567,0,205,58,470,29,337,58,265,0.61
78,5,2.567,863,2,1046,163,954,82,182,160,0.33
79,1,2.6,502,307,783,618,642,462,281,311,0.85
79,2,2.6,1003,206,1170,499,1087,353,166,293,0.84
79,3,2.6,886,390,1066,654,976,522,180,263,0.84
79,4,2.6,26,204,84,464,55,334,58,260,0.84
80,1,2.633,497,311,775,620,636,465,277,309,0.81
80,2,2.633,1026,202,1192,493,1109,347,165,291,0.81
80,3,2.633,897,387,1078,650,987,518,180,262,0.86
80,4,2.633,53,204,113,463,83,333,59,258,0.85
80,6,2.633,928,1,1111,177,1020,89,182,175,0.62
81,1,2.667,504,312,773,615,638,463,268,302,0.86
81,2,2.667,1049,190,1217,485,1133,338,168,294,0.85
81,3,2.667,919,385,1099,644,1009,515,180,258,0.86
81,4,2.667,93,216,155,473,124,344,62,256,0.87
81,6,2.667,949,1,1133,178,1041,90,184,177,0.84
82,1,2.7,508,313,771,613,639,463,263,300,0.86
82,2,2.7,1055,187,1225,483,1140,335,170,296,0.85
82,3,2.7,924,385,1106,643,1015,514,182,257,0.86
82,4,2.7,102,220,169,476,136,348,66,256,0.87
82,6,2.7,955,1,1141,179,1048,90,186,177,0.83
83,1,2.733,527,312,787,611,657,462,259,299,0.86
83,2,2.733,1076,185,1242,469,1159,327,166,283,0.85
83,3,2.733,919,384,1103,641,1011,513,184,257,0.86
83,4,2.733,135,229,207,485,171,357,71,256,0.83
83,6,2.733,988,0,1175,177,1081,89,187,176,0.82
84,1,2.767,544,310,800,609,672,459,255,298,0.86
84,2,2.767,1089,178,1247,442,1168,310,158,263,0.85
84,3,2.767,909,381,1092,635,1001,508,182,254,0.77
84,4,2.767,168,228,246,492,207,360,77,264,0.84
84,6,2.767,1022,0,1213,179,1117,90,191,179,0.86
85,1,2.8,544,309,802,613,673,461,258,304,0.88
85,2,2.8,1090,175,1252,438,1171,307,161,262,0.84
85,3,2.8,878,377,1059,628,969,503,180,251,0.82
85,4,2.8,195,233,276,493,236,363,80,260,0.86
85,6,2.8,1044,0,1247,190,1145,95,203,189,0.89
86,1,2.833,548,304,810,619,679,462,262,314,0.86
86,2,2.833,1088,172,1248,432,1168,302,159,259,0.74
86,3,2.833,869,371,1052,622,960,497,182,251,0.86
86,4,2.833,222,236,304,491,263,364,81,255,0.85
86,6,2.833,1060,1,1269,198,1165,99,209,197,0.84
87,1,2.867,554,300,812,617,683,458,257,317,0.84
87,2,2.867,1082,171,1239,427,1161,299,157,255,0.82
87,3,2.867,864,367,1052,621,958,494,187,253,0.88
87,4,2.867,255,238,338,487,296,362,83,248,0.83
87,6,2.867,1070,0,1279,202,1175,101,209,201,0.82
88,1,2.9,558,298,810,616,684,457,251,318,0.84
88,2,2.9,1079,171,1235,426,1157,298,155,255,0.82
88,3,2.9,861,366,1053,620,957,493,191,253,0.88
88,4,2.9,264,238,351,485,307,361,87,246,0.83
88,6,2.9,1074,0,1280,203,1177,102,205,202,0.82
89,1,2.933,554,297,791,608,673,453,237,310,0.84
89,2,2.933,1068,168,1226,424,1147,296,157,256,0.82
89,3,2.933,850,367,1047,619,949,493,197,252,0.88
89,4,2.933,288,243,380,489,334,366,91,245,0.86
89,6,2.933,1084,0,1280,203,1182,102,195,202,0.87
90,1,2.967,560,294,790,604,675,449,230,309,0.85
90,2,2.967,1063,161,1226,421,1144,291,163,259,0.84
90,3,2.967,827,365,1035,623,931,494,208,257,0.86
90,4,2.967,306,251,405,494,356,372,98,243,0.87
