frame_id,timestamp_s,cluster_score,density_ratio,players,x_min,y_min,x_max,y_max
404,13.897,21,1.235294118,16,694,285,1275,675
421,14.483,21,1.235294118,16,17,301,1274,684
433,14.897,21,1.235294118,16,35,323,1278,684
2037,70.207,23,1.4375,15,118,377,1280,688
2049,70.621,23,1.352941176,16,208,386,1280,685
2062,71.069,19,1.266666667,14,125,388,1276,687
2072,71.414,31,1.409090909,21,77,364,1279,686
2079,71.655,29,1.318181818,21,21,342,1279,685
2085,71.862,33,1.434782609,22,264,342,1260,687
2113,72.828,26,1.3,19,85,329,1164,603
2114,72.862,24,1.263157895,18,78,329,1163,603
2115,72.897,24,1.263157895,18,75,329,1163,603
2116,72.931,25,1.315789474,18,69,330,1161,603
2117,72.966,26,1.368421053,18,64,331,1159,605
2118,73,26,1.368421053,18,56,330,1158,605
2119,73.034,22,1.222222222,17,49,333,1159,603
2134,73.552,30,1.363636364,21,11,333,1240,612
2166,74.655,26,1.3,19,19,346,1280,604
3514,121.138,23,1.352941176,16,222,423,1111,635
3520,121.345,32,1.684210526,18,279,411,1172,622
3526,121.552,34,1.7,19,313,402,1220,620
3529,121.655,26,1.368421053,18,326,401,1242,620
3530,121.69,26,1.368421053,18,332,396,1251,620
3531,121.724,26,1.368421053,18,334,394,1254,620
3532,121.759,27,1.421052632,18,335,393,1260,619
3533,121.793,26,1.368421053,18,339,390,1268,618
3537,121.931,25,1.315789474,18,350,383,1280,611
3538,121.966,25,1.315789474,18,350,383,1280,611
3539,122,24,1.333333333,17,351,382,1280,610
3540,122.034,23,1.277777778,17,350,379,1280,609
3541,122.069,30,1.578947368,18,349,374,1280,607
3542,122.103,24,1.411764706,16,348,370,1120,606
3543,122.138,25,1.388888889,17,347,366,1123,603
3544,122.172,21,1.235294118,16,346,365,1123,602
3556,122.586,21,1.235294118,16,352,336,1152,587
3562,122.793,28,1.473684211,18,371,332,1167,581
3563,122.828,29,1.526315789,18,374,334,1166,581
3564,122.862,27,1.421052632,18,377,335,1169,580
3565,122.897,30,1.578947368,18,380,334,1171,580
3566,122.931,27,1.5,17,384,334,1173,580
3567,122.966,37,1.85,19,386,334,1174,580
3570,123.069,23,1.352941176,16,392,334,1176,581
3571,123.103,23,1.277777778,17,392,335,1176,582
3574,123.207,27,1.421052632,18,392,338,1176,583
3580,123.414,27,1.421052632,18,389,337,1177,589
3592,123.828,22,1.222222222,17,370,336,1181,603
3593,123.862,22,1.222222222,17,369,337,1181,603
3594,123.897,23,1.277777778,17,367,336,1182,604
3598,124.034,22,1.222222222,17,360,338,1190,609
3601,124.138,23,1.277777778,17,354,337,1199,615
3628,125.069,27,1.227272727,21,286,336,1273,655
4385,151.172,26,1.238095238,20,12,193,1216,687
4393,151.448,23,1.210526316,18,211,225,1249,687
4791,165.172,30,1.578947368,18,0,273,1252,574
4815,166,26,1.3,19,254,268,1279,564
4998,172.31,22,1.222222222,17,48,217,915,573
5089,175.448,23,1.210526316,18,64,283,1180,515
5090,175.483,27,1.35,19,69,283,1185,515
5091,175.517,34,1.619047619,20,75,282,1191,514
5092,175.552,34,1.619047619,20,65,283,1197,514
5095,175.655,26,1.3,19,33,282,1212,512
5096,175.69,26,1.3,19,31,282,1213,512
5097,175.724,25,1.25,19,27,283,1216,510
5123,176.621,23,1.277777778,17,183,278,1241,500
5132,176.931,25,1.315789474,18,213,279,1280,498
5133,176.966,21,1.235294118,16,216,279,1084,497
5139,177.172,33,1.736842105,18,231,279,1101,495
5140,177.207,24,1.411764706,16,235,279,1105,494
5141,177.241,24,1.411764706,16,238,278,1107,494
5193,179.034,25,1.388888889,17,179,284,1253,473
5194,179.069,22,1.294117647,16,177,284,1254,473
5195,179.103,22,1.294117647,16,174,284,1256,473
5196,179.138,23,1.352941176,16,171,284,1259,474
5197,179.172,24,1.411764706,16,169,284,1263,473
5198,179.207,24,1.411764706,16,169,284,1264,472
5199,179.241,24,1.411764706,16,167,284,1268,472
5228,180.241,17,1.214285714,13,144,285,1221,458
5229,180.276,17,1.214285714,13,144,285,1232,457
5243,180.759,21,1.235294118,16,24,286,1194,580
5483,189.034,26,1.3,19,8,314,1273,668
5500,189.621,24,1.263157895,18,31,330,1258,682
5538,190.931,27,1.421052632,18,85,326,1176,684
5539,190.966,22,1.222222222,17,88,327,1180,684
5540,191,26,1.368421053,18,89,327,1181,684
5541,191.034,27,1.421052632,18,91,328,1182,683
5542,191.069,28,1.473684211,18,94,329,1184,682
6408,220.931,39,1.5,25,0,201,1268,668
6421,221.379,30,1.428571429,20,98,200,1186,646
6513,224.552,34,1.416666667,23,17,215,1209,590
6515,224.621,41,1.576923077,25,15,214,1200,586
6516,224.655,41,1.576923077,25,15,214,1198,585
6589,227.172,34,1.545454545,21,181,352,1174,653
6592,227.276,27,1.227272727,21,59,372,1274,674
6674,230.103,22,1.222222222,17,282,284,1277,613
6676,230.172,22,1.222222222,17,283,284,1279,610
7012,241.759,25,1.315789474,18,24,305,1279,645
7013,241.793,25,1.315789474,18,23,306,1280,644
