frame,processing_time_ms,detected_keypoints,confidence_scores
1,119.03500556945801,11,"[0.8102872371673584, 0.4343879222869873, 0.4841383397579193, 0.4164009094238281, 0.1195702999830246, 0.14783327281475067, 0.8290297985076904, 0.8814745545387268, 0.340237557888031, 0.6522642374038696, 1.0053386688232422]"
2,109.52544212341309,12,"[0.757814884185791, 0.43036654591560364, 0.4708590805530548, 0.39555007219314575, 0.1343357115983963, 0.1343739628791809, 0.11750867962837219, 0.7485873103141785, 0.8078445792198181, 0.13547751307487488, 0.5888132452964783, 1.0047447681427002]"
3,121.34432792663574,11,"[0.7153791785240173, 0.42996442317962646, 0.4446009397506714, 0.37155288457870483, 0.17573656141757965, 0.11020893603563309, 0.6608710289001465, 0.7526057362556458, 0.1625225841999054, 0.4912204444408417, 1.0048563480377197]"
4,121.10614776611328,12,"[0.7208418250083923, 0.41988056898117065, 0.4299497902393341, 0.363342821598053, 0.30808910727500916, 0.1020093709230423, 0.10170145332813263, 0.6481027603149414, 0.7625095248222351, 0.13295364379882812, 0.496822714805603, 1.0049041509628296]"
5,112.62941360473633,10,"[0.7460576295852661, 0.4593358039855957, 0.460923969745636, 0.35313892364501953, 0.17533302307128906, 0.6717636585235596, 0.7607949376106262, 0.2104526162147522, 0.4921267330646515, 1.0048975944519043]"
6,112.51950263977051,11,"[0.7450506687164307, 0.4639272391796112, 0.4673367440700531, 0.3294694125652313, 0.20685553550720215, 0.11747846752405167, 0.6650894284248352, 0.7405009269714355, 0.18636640906333923, 0.5028886795043945, 1.0048366785049438]"
7,119.56977844238281,12,"[0.710411548614502, 0.47266215085983276, 0.47982099652290344, 0.3137291669845581, 0.2544841170310974, 0.11237826198339462, 0.10075810551643372, 0.133686363697052, 0.6333631873130798, 0.7007121443748474, 0.4685184955596924, 1.0048561096191406]"
8,114.06826972961426,11,"[0.7373571991920471, 0.5245092511177063, 0.5087582468986511, 0.37686413526535034, 0.27278661727905273, 0.120716892182827, 0.6824682950973511, 0.7223347425460815, 0.20030194520950317, 0.5154514908790588, 1.0047612190246582]"
9,106.56118392944336,12,"[0.6992895007133484, 0.5318174958229065, 0.48800209164619446, 0.38773372769355774, 0.29935261607170105, 0.133436381816864, 0.18624861538410187, 0.6779754757881165, 0.7021726369857788, 0.16514015197753906, 0.48019692301750183, 1.0047907829284668]"
10,104.63738441467285,12,"[0.7231858968734741, 0.5770988464355469, 0.4843474328517914, 0.40738946199417114, 0.28462764620780945, 0.13614559173583984, 0.16665922105312347, 0.7153903245925903, 0.7162330150604248, 0.2927180528640747, 0.4771439731121063, 1.003826379776001]"
11,104.60281372070312,13,"[0.7457483410835266, 0.5921404957771301, 0.48499777913093567, 0.41773873567581177, 0.3696295917034149, 0.1032300665974617, 0.12091794610023499, 0.17858237028121948, 0.7425855994224548, 0.7536153197288513, 0.4242905378341675, 0.5325254797935486, 1.0047554969787598]"
12,104.52556610107422,11,"[0.766241729259491, 0.5284842848777771, 0.42690351605415344, 0.41967588663101196, 0.23881782591342926, 0.1447947919368744, 0.7800694108009338, 0.7639949917793274, 0.5220337510108948, 0.527010977268219, 1.0039191246032715]"
