epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.93706,2.06499,17.6293,0.94469,0.00063,0.19014,0.00544,0.00066,2.17149,7.58562,1.03939,0.000657778,0.000657778,0.000657778
2,16.2604,2.57987,11.9904,0.96559,0.3599,0.16901,0.17068,0.06559,2.43669,3.49316,1.17902,0.00131133,0.00131133,0.00131133
3,23.4588,2.51102,7.02239,0.96474,0.58024,0.21127,0.23898,0.07537,2.3712,2.61338,1.19448,0.00195169,0.00195169,0.00195169
4,32.3508,2.45291,3.79993,0.95789,0.13573,0.3169,0.05878,0.01763,2.41108,5.04142,1.23655,0.0019406,0.0019406,0.0019406
5,39.6266,2.52497,3.05128,0.99456,0.46559,0.25352,0.24128,0.08506,2.20478,1.95996,1.21275,0.0019208,0.0019208,0.0019208
6,46.7641,2.35367,2.35749,0.97603,0.51821,0.26514,0.23262,0.06179,2.66329,1.85217,1.20252,0.001901,0.001901,0.001901
7,53.8852,2.35556,2.09354,0.94034,0.49424,0.26056,0.27069,0.08427,2.50714,1.68311,1.22095,0.0018812,0.0018812,0.0018812
8,60.9063,2.279,1.94721,0.94059,0.41626,0.28873,0.23111,0.088,2.05687,2.23349,1.04541,0.0018614,0.0018614,0.0018614
9,69.7384,2.22367,1.69926,0.91131,0.45581,0.28169,0.2459,0.06719,2.34072,2.20857,1.09689,0.0018416,0.0018416,0.0018416
10,76.5965,2.22433,1.60889,0.92772,0.50368,0.27874,0.27091,0.09809,2.20197,1.63859,1.02029,0.0018218,0.0018218,0.0018218
11,83.4682,2.15197,1.53031,0.92866,0.62745,0.28169,0.3303,0.13258,2.17506,1.70691,1.17805,0.001802,0.001802,0.001802
12,90.4657,2.11724,1.53731,0.90291,0.49893,0.37324,0.38339,0.14803,2.23662,1.49233,1.12818,0.0017822,0.0017822,0.0017822
13,97.5073,2.10006,1.47699,0.90935,0.64863,0.33803,0.39539,0.14093,2.20052,1.65555,1.0307,0.0017624,0.0017624,0.0017624
14,106.438,2.04178,1.38136,0.92228,0.50263,0.40141,0.41611,0.14558,2.26578,1.74904,3.10601,0.0017426,0.0017426,0.0017426
15,113.112,1.96222,1.40595,0.91628,0.6064,0.34721,0.39738,0.14401,2.09482,1.55102,1.16703,0.0017228,0.0017228,0.0017228
16,120.112,1.96446,1.28465,0.93405,0.60366,0.3169,0.37902,0.14461,2.29148,1.68782,1.20278,0.001703,0.001703,0.001703
17,126.979,2.11437,1.49997,0.88507,0.58157,0.30986,0.32318,0.12329,2.21153,1.77298,1.11608,0.0016832,0.0016832,0.0016832
18,135.723,1.99394,1.44662,0.90573,0.69022,0.3169,0.40088,0.14787,2.29873,1.96336,1.18882,0.0016634,0.0016634,0.0016634
19,142.523,1.97124,1.27453,0.9332,0.57048,0.39437,0.39523,0.14395,2.32394,1.80987,1.19741,0.0016436,0.0016436,0.0016436
20,149.276,1.93881,1.26513,0.91874,0.61901,0.30282,0.40846,0.15319,2.05517,1.63303,1.1844,0.0016238,0.0016238,0.0016238
21,156.214,1.93843,1.32828,0.90211,0.44454,0.3169,0.32142,0.13062,1.95887,1.78118,1.13832,0.001604,0.001604,0.001604
22,163.059,1.86516,1.19756,0.9011,0.80683,0.39437,0.46965,0.17156,2.02939,1.56791,1.08753,0.0015842,0.0015842,0.0015842
23,172.119,2.03337,1.22908,0.90574,0.62214,0.28989,0.35465,0.14723,1.96805,1.82779,1.09816,0.0015644,0.0015644,0.0015644
24,179.042,2.0156,1.2839,0.88363,0.61391,0.38732,0.40894,0.16028,1.94738,1.26213,1.09612,0.0015446,0.0015446,0.0015446
25,185.862,1.94513,1.17269,0.88183,0.71141,0.34721,0.43217,0.17989,2.05121,1.4665,1.08891,0.0015248,0.0015248,0.0015248
26,192.688,1.8627,1.07053,0.88962,0.60841,0.40845,0.43654,0.17496,1.83151,1.22577,1.09591,0.001505,0.001505,0.001505
27,199.804,1.86545,1.1103,0.87251,0.63419,0.3662,0.42801,0.14942,2.16966,1.85409,1.08752,0.0014852,0.0014852,0.0014852
28,208.938,1.84615,1.15708,0.91775,0.68997,0.40749,0.43905,0.15733,2.12092,1.80835,1.10892,0.0014654,0.0014654,0.0014654
29,215.948,1.85622,1.17486,0.89127,0.65329,0.42254,0.44217,0.18219,1.89376,1.29554,1.07341,0.0014456,0.0014456,0.0014456
30,222.885,1.80586,1.11958,0.87487,0.7734,0.3846,0.46636,0.15852,1.92474,1.52209,1.04677,0.0014258,0.0014258,0.0014258
31,229.902,1.87882,1.11668,0.89799,0.59152,0.40791,0.43419,0.1687,1.81168,1.22902,1.02781,0.001406,0.001406,0.001406
32,238.529,1.8795,1.10295,0.87155,0.74098,0.30282,0.36959,0.1298,2.02661,1.52612,1.04692,0.0013862,0.0013862,0.0013862
33,245.422,1.81407,1.09939,0.86086,0.74782,0.40141,0.45023,0.17861,1.68686,1.25104,0.98215,0.0013664,0.0013664,0.0013664
34,252.36,1.77364,1.03989,0.90161,0.81076,0.4224,0.51811,0.21112,1.66249,1.05984,1.01073,0.0013466,0.0013466,0.0013466
35,259.38,1.78457,1.02265,0.86583,0.72279,0.41549,0.468,0.19781,1.77951,1.2895,1.06799,0.0013268,0.0013268,0.0013268
36,266.38,1.83136,1.056,0.88521,0.65893,0.41549,0.46003,0.20362,1.80174,1.52563,1.05414,0.001307,0.001307,0.001307
37,275.171,1.71635,1.01483,0.87136,0.69753,0.40845,0.43974,0.19398,1.72256,1.4715,1.03613,0.0012872,0.0012872,0.0012872
38,282.173,1.74575,0.94715,0.88982,0.63118,0.38732,0.45606,0.16374,1.90081,1.64823,1.06304,0.0012674,0.0012674,0.0012674
39,289.16,1.72881,0.97574,0.86938,0.62175,0.42958,0.44103,0.17886,1.70126,1.35685,1.10071,0.0012476,0.0012476,0.0012476
40,296.147,1.72971,1.0135,0.88045,0.69189,0.3662,0.43547,0.18738,1.99362,1.50812,1.08471,0.0012278,0.0012278,0.0012278
41,303.162,1.7749,1.00734,0.85773,0.76784,0.40845,0.49363,0.20056,1.83385,1.10377,1.09308,0.001208,0.001208,0.001208
42,311.918,1.6611,0.96561,0.85171,0.68617,0.39437,0.44294,0.19803,1.78361,1.32723,1.06447,0.0011882,0.0011882,0.0011882
43,318.849,1.80525,1.03036,0.85169,0.79115,0.37324,0.50344,0.17004,1.92936,1.57842,1.04388,0.0011684,0.0011684,0.0011684
44,325.79,1.61388,0.93543,0.85369,0.76209,0.36095,0.45533,0.18915,1.85038,1.27708,1.11221,0.0011486,0.0011486,0.0011486
45,332.714,1.70337,0.93873,0.83652,0.69945,0.40141,0.48469,0.22128,1.82524,1.07688,1.1251,0.0011288,0.0011288,0.0011288
46,341.482,1.69838,0.93498,0.85768,0.60188,0.35211,0.40744,0.17084,1.93136,1.38017,1.18207,0.001109,0.001109,0.001109
47,348.384,1.64228,0.95058,0.87353,0.84616,0.34865,0.4508,0.18134,1.94581,1.20282,1.12104,0.0010892,0.0010892,0.0010892
48,355.323,1.67253,0.95691,0.84874,0.73939,0.39962,0.48073,0.21052,1.69731,1.05548,1.02624,0.0010694,0.0010694,0.0010694
49,362.29,1.53076,0.90197,0.86011,0.65494,0.39437,0.46704,0.2093,1.78733,1.09612,1.0255,0.0010496,0.0010496,0.0010496
50,369.19,1.69037,0.95868,0.86586,0.64856,0.42254,0.50245,0.21848,1.81867,1.01298,1.09814,0.0010298,0.0010298,0.0010298
51,377.987,1.57936,0.86308,0.86398,0.63504,0.42254,0.4669,0.1955,1.96293,1.27748,1.17605,0.00101,0.00101,0.00101
52,384.951,1.65095,0.93092,0.86668,0.58147,0.40845,0.43059,0.18349,1.74905,1.61639,1.05148,0.0009902,0.0009902,0.0009902
53,391.837,1.7274,0.98396,0.84888,0.50778,0.37052,0.32069,0.12624,1.83918,3.37158,1.08658,0.0009704,0.0009704,0.0009704
54,398.691,1.55704,0.84967,0.84149,0.69987,0.42958,0.46968,0.20116,1.85447,1.58927,1.09786,0.0009506,0.0009506,0.0009506
55,405.558,1.66056,0.91121,0.86589,0.60009,0.40141,0.4135,0.16566,1.81353,1.59538,1.10783,0.0009308,0.0009308,0.0009308
56,414.273,1.5799,0.90208,0.85423,0.57718,0.39415,0.37915,0.16565,1.81254,1.77999,1.09777,0.000911,0.000911,0.000911
57,421.193,1.52585,0.84595,0.86296,0.75395,0.4316,0.54745,0.23982,1.68981,1.25637,1.05152,0.0008912,0.0008912,0.0008912
58,428.144,1.58821,0.84739,0.85296,0.80301,0.40191,0.56344,0.24323,1.71539,1.04925,1.03024,0.0008714,0.0008714,0.0008714
59,435.145,1.53778,0.797,0.85074,0.4409,0.40845,0.2906,0.1178,1.74595,3.58309,1.13506,0.0008516,0.0008516,0.0008516
60,443.959,1.53533,0.83089,0.82557,0.73034,0.41962,0.53826,0.22319,1.79221,1.25627,1.1293,0.0008318,0.0008318,0.0008318
61,450.906,1.50055,0.8115,0.83682,0.82537,0.40141,0.54471,0.23632,1.78431,1.25137,1.0574,0.000812,0.000812,0.000812
62,457.826,1.58855,0.85068,0.84852,0.72202,0.42958,0.51538,0.22335,1.66578,0.89558,1.01894,0.0007922,0.0007922,0.0007922
63,464.813,1.51687,0.83766,0.85063,0.73305,0.40141,0.4732,0.20613,1.77473,1.53223,1.12677,0.0007724,0.0007724,0.0007724
64,471.793,1.57854,0.88008,0.83048,0.62854,0.40516,0.41328,0.1775,1.82938,1.59219,1.12161,0.0007526,0.0007526,0.0007526
65,480.568,1.53823,0.74561,0.8634,0.70854,0.39377,0.4747,0.20804,1.83562,1.26958,1.0387,0.0007328,0.0007328,0.0007328
66,487.476,1.48001,0.79671,0.84708,0.50932,0.38732,0.31434,0.13313,1.77194,2.15653,1.00983,0.000713,0.000713,0.000713
67,494.418,1.56738,0.83515,0.83056,0.68442,0.4582,0.54484,0.2241,1.69948,1.45824,1.05803,0.0006932,0.0006932,0.0006932
68,501.362,1.45973,0.79526,0.85318,0.70134,0.42958,0.53867,0.22521,1.68654,0.99665,1.02029,0.0006734,0.0006734,0.0006734
69,508.31,1.5051,0.83068,0.83426,0.54288,0.40982,0.39471,0.16389,1.69644,1.91024,1.02796,0.0006536,0.0006536,0.0006536
70,517.144,1.50173,0.79997,0.8428,0.77052,0.44929,0.58603,0.24689,1.702,0.91275,1.05016,0.0006338,0.0006338,0.0006338
