time,data values
2024-04-18T10:36:44.960Z,Heart Rate Value (BPM) = 83
2024-04-18T10:36:44.970Z,Heart Rate Value (BPM) = 83
2024-04-18T10:36:45.956Z,Heart Rate Value (BPM) = 83
2024-04-18T10:36:46.956Z,Heart Rate Value (BPM) = 83
2024-04-18T10:36:47.956Z,Heart Rate Value (BPM) = 82
2024-04-18T10:36:48.956Z,Heart Rate Value (BPM) = 82
2024-04-18T10:36:49.955Z,Heart Rate Value (BPM) = 81
2024-04-18T10:36:50.956Z,Heart Rate Value (BPM) = 81
2024-04-18T10:36:51.955Z,Heart Rate Value (BPM) = 81
2024-04-18T10:36:52.955Z,Heart Rate Value (BPM) = 82
2024-04-18T10:36:53.955Z,Heart Rate Value (BPM) = 82
