Time stamp,Acceleration,Direction(vector form),High speed alert!,Direction Aler!
2024-05-15T03:23:44.077Z,1,0.02i -0.12j -0.99k,No Alert,No Alert
2024-05-15T03:23:45.075Z,1,0.02i -0.12j -0.99k,No Alert,No Alert
2024-05-15T03:23:46.076Z,1,0.02i -0.12j -0.99k,No Alert,No Alert
2024-05-15T03:23:47.075Z,1,0.02i -0.13j -0.99k,No Alert,No Alert
2024-05-15T03:23:48.074Z,1,0.02i -0.13j -0.99k,No Alert,No Alert
2024-05-15T03:23:49.075Z,1,0.02i -0.13j -0.99k,No Alert,No Alert
2024-05-15T03:23:50.076Z,1,0.02i -0.13j -0.99k,No Alert,No Alert
2024-05-15T03:24:15.074Z,1,0.02i -0.11j -0.99k,No Alert,No Alert
2024-05-15T03:24:16.077Z,1,0.02i -0.11j -0.99k,No Alert,No Alert
2024-05-15T03:24:17.076Z,1,0.02i 0.12j -1.00k,No Alert,No Alert
2024-05-15T03:24:20.076Z,1.46,0.26i 1.39j -0.39k,No Alert,No Alert
2024-05-15T03:24:21.076Z,1.29,0.14i 1.13j -0.61k,No Alert,No Alert
2024-05-15T03:24:22.076Z,1.25,0.15i 1.06j -0.65k,No Alert,No Alert
2024-05-15T03:24:24.076Z,1.32,0.50i -0.60j -1.07k,No Alert,No Alert
2024-05-15T03:24:25.075Z,1.17,0.58i -0.64j -0.78k,No Alert,No Alert
2024-05-15T03:24:26.075Z,0.62,0.42i -0.41j -0.19k,No Alert,No Alert
2024-05-15T03:24:27.075Z,0.49,0.20i 0.02j 0.45k,No Alert,No Alert
2024-05-15T03:24:28.075Z,0.33,0.25i -0.00j 0.21k,No Alert,No Alert
2024-05-15T03:24:29.075Z,0.43,0.34i -0.22j 0.15k,No Alert,No Alert
2024-05-15T03:24:30.074Z,1.37,1.27i -0.20j 0.48k,No Alert,No Alert
2024-05-15T03:24:31.075Z,1.49,1.23i -0.34j 0.78k,No Alert,No Alert
2024-05-15T03:24:32.075Z,1.89,1.75i -0.69j 0.25k,No Alert,No Alert
2024-05-15T03:24:33.074Z,1.66,1.51i -0.67j 0.15k,No Alert,No Alert
2024-05-15T03:24:34.076Z,1.44,1.22i -0.76j 0.08k,No Alert,No Alert
2024-05-15T03:24:35.075Z,1.29,1.01i -0.78j 0.18k,No Alert,No Alert
2024-05-15T03:24:36.075Z,1.05,0.69i -0.78j 0.15k,No Alert,No Alert
2024-05-15T03:24:37.075Z,0.96,0.46i -0.69j 0.48k,No Alert,No Alert
2024-05-15T03:24:38.075Z,0.45,0.30i -0.26j 0.21k,No Alert,No Alert
2024-05-15T03:24:39.076Z,0.48,0.16i -0.32j 0.32k,No Alert,No Alert
2024-05-15T03:24:43.075Z,0.65,0.59i -0.23j 0.16k,No Alert,No Alert
2024-05-15T03:24:44.075Z,1.14,1.13i -0.14j 0.04k,No Alert,No Alert
2024-05-15T03:24:45.076Z,1.3,1.26i -0.29j 0.10k,No Alert,No Alert
2024-05-15T03:24:46.076Z,1.22,1.09i -0.05j -0.56k,No Alert,No Alert
2024-05-15T03:24:47.075Z,0.95,0.81i -0.40j -0.30k,No Alert,No Alert
2024-05-15T03:24:48.075Z,0.68,0.37i -0.48j -0.30k,No Alert,No Alert
2024-05-15T03:24:49.076Z,0.57,0.14i -0.37j -0.41k,No Alert,No Alert
2024-05-15T03:25:03.075Z,0.21,0.01i 0.07j -0.19k,No Alert,No Alert
