                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9498,                 3.6062,                 2.0006,                0.02115,                0.90689,                 0.1186,                 0.0411,                 1.7817,                 2.9247,                 1.5663,             0.00028179,             0.00028179,             0.00028179
                      2,                 1.4665,                 3.0423,                 1.6673,                0.55917,                0.18202,                0.19042,                0.08858,                 1.8803,                 2.6856,                 1.7517,             0.00054432,             0.00054432,             0.00054432
                      3,                 1.3486,                 2.6502,                 1.5544,                0.52469,                0.59695,                0.55709,                0.29161,                  1.556,                 3.1312,                  1.448,             0.00077806,             0.00077806,             0.00077806
                      4,                 1.3069,                 2.5048,                 1.5002,                0.09745,                0.44345,                0.13809,                0.06139,                 1.5408,                  3.444,                 1.6021,             0.00077401,             0.00077401,             0.00077401
                      5,                 1.2341,                 2.3552,                 1.4342,                0.44385,                0.45923,                0.38276,                 0.1924,                 1.3817,                 2.1915,                 1.3475,             0.00072902,             0.00072902,             0.00072902
                      6,                  1.181,                 2.2334,                 1.3885,                0.40601,                0.71131,                0.47925,                0.29881,                  1.413,                 2.4854,                  1.427,             0.00068402,             0.00068402,             0.00068402
                      7,                  1.132,                 2.1434,                  1.343,                0.13423,                 0.2867,                 0.3237,                0.18328,                  1.302,                 2.3204,                 1.3372,             0.00063903,             0.00063903,             0.00063903
                      8,                 1.1053,                 2.0455,                 1.3183,                0.65771,                0.55439,                0.67716,                 0.4408,                 1.1706,                 1.9319,                 1.2653,             0.00059403,             0.00059403,             0.00059403
                      9,                 1.0771,                 2.0003,                 1.2946,                 0.3459,                0.67734,                0.57569,                0.36739,                  1.166,                 1.8959,                 1.3408,             0.00054904,             0.00054904,             0.00054904
                     10,                 1.0238,                  1.906,                 1.2676,                0.46649,                0.65986,                0.57648,                0.38179,                 1.1284,                 1.7838,                  1.243,             0.00050404,             0.00050404,             0.00050404
                     11,                0.91104,                 1.9105,                 1.2432,                0.42192,                0.71173,                0.60799,                0.40793,                 1.1321,                 1.9185,                 1.2456,             0.00045904,             0.00045904,             0.00045904
                     12,                0.87875,                 1.7692,                 1.1981,                0.66503,                0.70672,                0.77301,                0.53282,                 1.0366,                 1.6963,                 1.1589,             0.00041405,             0.00041405,             0.00041405
                     13,                0.82361,                 1.6341,                  1.156,                0.57932,                0.70195,                0.69256,                0.46314,                  1.033,                 1.8178,                 1.1875,             0.00036905,             0.00036905,             0.00036905
                     14,                0.78473,                 1.5596,                 1.1561,                0.67148,                0.76438,                0.74859,                 0.5552,                0.91932,                 1.5711,                 1.1167,             0.00032406,             0.00032406,             0.00032406
                     15,                0.76715,                 1.4843,                 1.1241,                0.60903,                0.79203,                0.75148,                0.56817,                0.98334,                  1.644,                 1.1377,             0.00027906,             0.00027906,             0.00027906
                     16,                0.73157,                 1.3886,                   1.11,                0.84702,                0.84334,                0.87305,                0.64756,                 1.0724,                 1.2877,                 1.0982,             0.00023407,             0.00023407,             0.00023407
                     17,                0.71932,                 1.3196,                 1.0998,                0.78178,                0.86267,                 0.8691,                0.67957,                 0.9029,                 1.2205,                 1.0641,             0.00018907,             0.00018907,             0.00018907
                     18,                0.70663,                 1.2765,                 1.1019,                0.80538,                0.85967,                0.87661,                0.70166,                 0.9067,                 1.1381,                 1.0686,             0.00014408,             0.00014408,             0.00014408
                     19,                0.69676,                 1.2425,                 1.0981,                0.87655,                 0.8665,                 0.8797,                0.69996,                0.93394,                 1.1696,                 1.0501,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                0.66985,                 1.2058,                 1.0766,                0.88241,                0.87415,                0.89199,                0.70875,                0.87684,                 1.1618,                 1.0413,             5.4086e-05,             5.4086e-05,             5.4086e-05
